season,week,seasonType,poll,team,rank,poll_priority
2010,7,regular,AP Top 25,Wisconsin,18,2.0
2010,8,regular,AP Top 25,Alabama,7,2.0
2010,8,regular,AP Top 25,Arizona,15,2.0
2010,8,regular,AP Top 25,Arkansas,21,2.0
2010,8,regular,AP Top 25,Auburn,5,2.0
2010,8,regular,AP Top 25,Boise State,2,2.0
2010,8,regular,AP Top 25,Florida State,16,2.0
2010,8,regular,AP Top 25,Iowa,13,2.0
2010,8,regular,AP Top 25,LSU,6,2.0
2010,8,regular,AP Top 25,Miami,25,2.0
2010,8,regular,AP Top 25,Michigan State,8,2.0
2010,8,regular,AP Top 25,Mississippi State,24,2.0
2010,8,regular,AP Top 25,Missouri,18,2.0
2010,8,regular,AP Top 25,Nebraska,14,2.0
2010,8,regular,AP Top 25,Ohio State,11,2.0
2010,8,regular,AP Top 25,Oklahoma,3,2.0
2010,8,regular,AP Top 25,Oklahoma State,17,2.0
2010,8,regular,AP Top 25,Oregon,1,2.0
2010,8,regular,AP Top 25,South Carolina,19,2.0
2010,8,regular,AP Top 25,Stanford,12,2.0
2010,8,regular,AP Top 25,TCU,4,2.0
2010,8,regular,AP Top 25,Texas,22,2.0
2010,8,regular,AP Top 25,Utah,9,2.0
2010,8,regular,AP Top 25,Virginia Tech,23,2.0
2010,8,regular,AP Top 25,West Virginia,20,2.0
2010,8,regular,AP Top 25,Wisconsin,10,2.0
2010,9,regular,AP Top 25,Alabama,6,2.0
2010,9,regular,AP Top 25,Arizona,15,2.0
2010,9,regular,AP Top 25,Arkansas,19,2.0
2010,9,regular,AP Top 25,Auburn,3,2.0
2010,9,regular,AP Top 25,Baylor,25,2.0
2010,9,regular,AP Top 25,Boise State,2,2.0
2010,9,regular,AP Top 25,Florida State,16,2.0
2010,9,regular,AP Top 25,Iowa,18,2.0
2010,9,regular,AP Top 25,LSU,12,2.0
2010,9,regular,AP Top 25,Miami,22,2.0
2010,9,regular,AP Top 25,Michigan State,5,2.0
2010,9,regular,AP Top 25,Mississippi State,23,2.0
2010,9,regular,AP Top 25,Missouri,7,2.0
2010,9,regular,AP Top 25,Nebraska,14,2.0
2010,9,regular,AP Top 25,Ohio State,10,2.0
2010,9,regular,AP Top 25,Oklahoma,11,2.0
2010,9,regular,AP Top 25,Oklahoma State,20,2.0
2010,9,regular,AP Top 25,Oregon,1,2.0
2010,9,regular,AP Top 25,South Carolina,17,2.0
2010,9,regular,AP Top 25,Stanford,13,2.0
2010,9,regular,AP Top 25,TCU,4,2.0
2010,9,regular,AP Top 25,USC,24,2.0
2010,9,regular,AP Top 25,Utah,8,2.0
2010,9,regular,AP Top 25,Virginia Tech,21,2.0
2010,9,regular,AP Top 25,Wisconsin,9,2.0
2010,10,regular,AP Top 25,Alabama,5,2.0
2010,10,regular,AP Top 25,Arizona,13,2.0
2010,10,regular,AP Top 25,Arkansas,17,2.0
2010,10,regular,AP Top 25,Auburn,3,2.0
2010,10,regular,AP Top 25,Baylor,22,2.0
2010,10,regular,AP Top 25,Boise State,2,2.0
2010,10,regular,AP Top 25,Florida State,24,2.0
2010,10,regular,AP Top 25,Iowa,15,2.0
2010,10,regular,AP Top 25,LSU,12,2.0
2010,10,regular,AP Top 25,Michigan State,16,2.0
2010,10,regular,AP Top 25,Mississippi State,21,2.0
2010,10,regular,AP Top 25,Missouri,14,2.0
2010,10,regular,AP Top 25,NC State,23,2.0
2010,10,regular,AP Top 25,Nebraska,9,2.0
2010,10,regular,AP Top 25,Nevada,25,2.0
2010,10,regular,AP Top 25,Ohio State,8,2.0
2010,10,regular,AP Top 25,Oklahoma,11,2.0
2010,10,regular,AP Top 25,Oklahoma State,19,2.0
2010,10,regular,AP Top 25,Oregon,1,2.0
2010,10,regular,AP Top 25,South Carolina,18,2.0
2010,10,regular,AP Top 25,Stanford,10,2.0
2010,10,regular,AP Top 25,TCU,4,2.0
2010,10,regular,AP Top 25,Utah,6,2.0
2010,10,regular,AP Top 25,Virginia Tech,20,2.0
2010,10,regular,AP Top 25,Wisconsin,7,2.0
2010,11,regular,AP Top 25,Alabama,11,2.0
2010,11,regular,AP Top 25,Arizona,18,2.0
2010,11,regular,AP Top 25,Arkansas,14,2.0
2010,11,regular,AP Top 25,Auburn,2,2.0
2010,11,regular,AP Top 25,Boise State,4,2.0
2010,11,regular,AP Top 25,Florida,24,2.0
2010,11,regular,AP Top 25,Iowa,13,2.0
2010,11,regular,AP Top 25,LSU,5,2.0
2010,11,regular,AP Top 25,Michigan State,10,2.0
2010,11,regular,AP Top 25,Mississippi State,17,2.0
2010,11,regular,AP Top 25,Missouri,20,2.0
2010,11,regular,AP Top 25,Nebraska,9,2.0
2010,11,regular,AP Top 25,Nevada,21,2.0
2010,11,regular,AP Top 25,Ohio State,8,2.0
2010,11,regular,AP Top 25,Oklahoma,19,2.0
2010,11,regular,AP Top 25,Oklahoma State,12,2.0
2010,11,regular,AP Top 25,Oregon,1,2.0
2010,11,regular,AP Top 25,South Carolina,22,2.0
2010,11,regular,AP Top 25,Stanford,7,2.0
2010,11,regular,AP Top 25,TCU,3,2.0
2010,11,regular,AP Top 25,Texas A&M,23,2.0
2010,11,regular,AP Top 25,UCF,25,2.0
2010,11,regular,AP Top 25,Utah,15,2.0
2010,11,regular,AP Top 25,Virginia Tech,16,2.0
2010,11,regular,AP Top 25,Wisconsin,6,2.0
2010,12,regular,AP Top 25,Alabama,10,2.0
2010,12,regular,AP Top 25,Arizona,23,2.0
2010,12,regular,AP Top 25,Arkansas,13,2.0
2010,12,regular,AP Top 25,Auburn,2,2.0
2010,12,regular,AP Top 25,Boise State,3,2.0
2010,12,regular,AP Top 25,Iowa,21,2.0
2010,12,regular,AP Top 25,LSU,5,2.0
2010,12,regular,AP Top 25,Miami,24,2.0
2010,12,regular,AP Top 25,Michigan State,11,2.0
2010,12,regular,AP Top 25,Mississippi State,22,2.0
2010,12,regular,AP Top 25,Missouri,15,2.0
2010,12,regular,AP Top 25,Nebraska,9,2.0
2010,12,regular,AP Top 25,Nevada,19,2.0
2010,12,regular,AP Top 25,Ohio State,8,2.0
2010,12,regular,AP Top 25,Oklahoma,16,2.0
2010,12,regular,AP Top 25,Oklahoma State,12,2.0
2010,12,regular,AP Top 25,Oregon,1,2.0
2010,12,regular,AP Top 25,South Carolina,17,2.0
2010,12,regular,AP Top 25,Stanford,7,2.0
2010,12,regular,AP Top 25,TCU,4,2.0
2010,12,regular,AP Top 25,Texas A&M,18,2.0
2010,12,regular,AP Top 25,USC,20,2.0
2010,12,regular,AP Top 25,Utah,25,2.0
2010,12,regular,AP Top 25,Virginia Tech,14,2.0
2010,12,regular,AP Top 25,Wisconsin,6,2.0
2010,13,regular,AP Top 25,Alabama,9,2.0
2010,13,regular,AP Top 25,Arizona,20,2.0
2010,13,regular,AP Top 25,Arkansas,12,2.0
2010,13,regular,AP Top 25,Auburn,2,2.0
2010,13,regular,AP Top 25,Boise State,3,2.0
2010,13,regular,AP Top 25,Florida State,22,2.0
2010,13,regular,AP Top 25,Iowa,24,2.0
2010,13,regular,AP Top 25,LSU,6,2.0
2010,13,regular,AP Top 25,Michigan State,11,2.0
2010,13,regular,AP Top 25,Mississippi State,25,2.0
2010,13,regular,AP Top 25,Missouri,15,2.0
2010,13,regular,AP Top 25,NC State,21,2.0
2010,13,regular,AP Top 25,Nebraska,16,2.0
2010,13,regular,AP Top 25,Nevada,19,2.0
2010,13,regular,AP Top 25,Ohio State,8,2.0
2010,13,regular,AP Top 25,Oklahoma,14,2.0
2010,13,regular,AP Top 25,Oklahoma State,10,2.0
2010,13,regular,AP Top 25,Oregon,1,2.0
2010,13,regular,AP Top 25,South Carolina,18,2.0
2010,13,regular,AP Top 25,Stanford,7,2.0
2010,13,regular,AP Top 25,TCU,4,2.0
2010,13,regular,AP Top 25,Texas A&M,17,2.0
2010,13,regular,AP Top 25,Utah,23,2.0
2010,13,regular,AP Top 25,Virginia Tech,13,2.0
2010,13,regular,AP Top 25,Wisconsin,5,2.0
2010,14,regular,AP Top 25,Alabama,17,2.0
2010,14,regular,AP Top 25,Arkansas,8,2.0
2010,14,regular,AP Top 25,Auburn,2,2.0
2010,14,regular,AP Top 25,Boise State,9,2.0
2010,14,regular,AP Top 25,Florida State,20,2.0
2010,14,regular,AP Top 25,Hawai'i,25,2.0
2010,14,regular,AP Top 25,LSU,11,2.0
2010,14,regular,AP Top 25,Michigan State,7,2.0
2010,14,regular,AP Top 25,Mississippi State,22,2.0
2010,14,regular,AP Top 25,Missouri,15,2.0
2010,14,regular,AP Top 25,Nebraska,13,2.0
2010,14,regular,AP Top 25,Nevada,14,2.0
2010,14,regular,AP Top 25,Northern Illinois,24,2.0
2010,14,regular,AP Top 25,Ohio State,6,2.0
2010,14,regular,AP Top 25,Oklahoma,10,2.0
2010,14,regular,AP Top 25,Oklahoma State,16,2.0
2010,14,regular,AP Top 25,Oregon,1,2.0
2010,14,regular,AP Top 25,South Carolina,18,2.0
2010,14,regular,AP Top 25,Stanford,5,2.0
2010,14,regular,AP Top 25,TCU,3,2.0
2010,14,regular,AP Top 25,Texas A&M,19,2.0
2010,14,regular,AP Top 25,Utah,21,2.0
2010,14,regular,AP Top 25,Virginia Tech,12,2.0
2010,14,regular,AP Top 25,West Virginia,23,2.0
2010,14,regular,AP Top 25,Wisconsin,4,2.0
2010,15,regular,AP Top 25,Alabama,15,2.0
2010,15,regular,AP Top 25,Arkansas,8,2.0
2010,15,regular,AP Top 25,Auburn,1,2.0
2010,15,regular,AP Top 25,Boise State,10,2.0
2010,15,regular,AP Top 25,Florida State,23,2.0
2010,15,regular,AP Top 25,Hawai'i,24,2.0
2010,15,regular,AP Top 25,LSU,11,2.0
2010,15,regular,AP Top 25,Michigan State,7,2.0
2010,15,regular,AP Top 25,Mississippi State,21,2.0
2010,15,regular,AP Top 25,Missouri,14,2.0
2010,15,regular,AP Top 25,Nebraska,17,2.0
2010,15,regular,AP Top 25,Nevada,13,2.0
2010,15,regular,AP Top 25,Ohio State,6,2.0
2010,15,regular,AP Top 25,Oklahoma,9,2.0
2010,15,regular,AP Top 25,Oklahoma State,16,2.0
2010,15,regular,AP Top 25,Oregon,2,2.0
2010,15,regular,AP Top 25,South Carolina,19,2.0
2010,15,regular,AP Top 25,Stanford,5,2.0
2010,15,regular,AP Top 25,TCU,3,2.0
2010,15,regular,AP Top 25,Texas A&M,18,2.0
2010,15,regular,AP Top 25,UConn,25,2.0
2010,15,regular,AP Top 25,Utah,20,2.0
2010,15,regular,AP Top 25,Virginia Tech,12,2.0
2010,15,regular,AP Top 25,West Virginia,22,2.0
2010,15,regular,AP Top 25,Wisconsin,4,2.0
2011,1,postseason,AP Top 25,Alabama,1,2.0
2011,1,postseason,AP Top 25,Arkansas,5,2.0
2011,1,postseason,AP Top 25,Baylor,13,2.0
2011,1,postseason,AP Top 25,Boise State,8,2.0
2011,1,postseason,AP Top 25,Cincinnati,25,2.0
2011,1,postseason,AP Top 25,Clemson,22,2.0
2011,1,postseason,AP Top 25,Florida State,23,2.0
2011,1,postseason,AP Top 25,Georgia,19,2.0
2011,1,postseason,AP Top 25,Houston,18,2.0
2011,1,postseason,AP Top 25,Kansas State,15,2.0
2011,1,postseason,AP Top 25,LSU,2,2.0
2011,1,postseason,AP Top 25,Michigan,12,2.0
2011,1,postseason,AP Top 25,Michigan State,11,2.0
2011,1,postseason,AP Top 25,Nebraska,24,2.0
2011,1,postseason,AP Top 25,Oklahoma,16,2.0
2011,1,postseason,AP Top 25,Oklahoma State,3,2.0
2011,1,postseason,AP Top 25,Oregon,4,2.0
2011,1,postseason,AP Top 25,South Carolina,9,2.0
2011,1,postseason,AP Top 25,Southern Miss,20,2.0
2011,1,postseason,AP Top 25,Stanford,7,2.0
2011,1,postseason,AP Top 25,TCU,14,2.0
2011,1,postseason,AP Top 25,USC,6,2.0
2011,1,postseason,AP Top 25,Virginia Tech,21,2.0
2011,1,postseason,AP Top 25,West Virginia,17,2.0
2011,1,postseason,AP Top 25,Wisconsin,10,2.0
2011,1,regular,AP Top 25,Alabama,2,2.0
2011,1,regular,AP Top 25,Arkansas,15,2.0
2011,1,regular,AP Top 25,Auburn,23,2.0
2011,1,regular,AP Top 25,Boise State,5,2.0
2011,1,regular,AP Top 25,Florida,22,2.0
2011,1,regular,AP Top 25,Florida State,6,2.0
2011,1,regular,AP Top 25,Georgia,19,2.0
2011,1,regular,AP Top 25,LSU,4,2.0
2011,1,regular,AP Top 25,Michigan State,17,2.0
2011,1,regular,AP Top 25,Mississippi State,20,2.0
2011,1,regular,AP Top 25,Missouri,21,2.0
2011,1,regular,AP Top 25,Nebraska,10,2.0
2011,1,regular,AP Top 25,Notre Dame,16,2.0
2011,1,regular,AP Top 25,Ohio State,18,2.0
2011,1,regular,AP Top 25,Oklahoma,1,2.0
2011,1,regular,AP Top 25,Oklahoma State,9,2.0
2011,1,regular,AP Top 25,Oregon,3,2.0
2011,1,regular,AP Top 25,South Carolina,12,2.0
2011,1,regular,AP Top 25,Stanford,7,2.0
2011,1,regular,AP Top 25,TCU,14,2.0
2011,1,regular,AP Top 25,Texas A&M,8,2.0
2011,1,regular,AP Top 25,USC,25,2.0
2011,1,regular,AP Top 25,Virginia Tech,13,2.0
2011,1,regular,AP Top 25,West Virginia,24,2.0
2011,1,regular,AP Top 25,Wisconsin,11,2.0
2011,2,regular,AP Top 25,Alabama,3,2.0
2011,2,regular,AP Top 25,Arkansas,14,2.0
2011,2,regular,AP Top 25,Baylor,20,2.0
2011,2,regular,AP Top 25,Boise State,4,2.0
2011,2,regular,AP Top 25,Florida,18,2.0
2011,2,regular,AP Top 25,Florida State,5,2.0
2011,2,regular,AP Top 25,LSU,2,2.0
2011,2,regular,AP Top 25,Michigan State,17,2.0
2011,2,regular,AP Top 25,Mississippi State,16,2.0
2011,2,regular,AP Top 25,Missouri,21,2.0
2011,2,regular,AP Top 25,Nebraska,10,2.0
2011,2,regular,AP Top 25,Ohio State,15,2.0
2011,2,regular,AP Top 25,Oklahoma,1,2.0
2011,2,regular,AP Top 25,Oklahoma State,9,2.0
2011,2,regular,AP Top 25,Oregon,13,2.0
2011,2,regular,AP Top 25,Penn State,23,2.0
2011,2,regular,AP Top 25,South Carolina,12,2.0
2011,2,regular,AP Top 25,South Florida,22,2.0
2011,2,regular,AP Top 25,Stanford,6,2.0
2011,2,regular,AP Top 25,TCU,25,2.0
2011,2,regular,AP Top 25,Texas,24,2.0
2011,2,regular,AP Top 25,Texas A&M,7,2.0
2011,2,regular,AP Top 25,Virginia Tech,11,2.0
2011,2,regular,AP Top 25,West Virginia,19,2.0
2011,2,regular,AP Top 25,Wisconsin,8,2.0
2011,3,regular,AP Top 25,Alabama,2,2.0
2011,3,regular,AP Top 25,Arizona State,22,2.0
2011,3,regular,AP Top 25,Arkansas,14,2.0
2011,3,regular,AP Top 25,Auburn,21,2.0
2011,3,regular,AP Top 25,Baylor,19,2.0
2011,3,regular,AP Top 25,Boise State,4,2.0
2011,3,regular,AP Top 25,Florida,16,2.0
2011,3,regular,AP Top 25,Florida State,5,2.0
2011,3,regular,AP Top 25,LSU,3,2.0
2011,3,regular,AP Top 25,Michigan State,15,2.0
2011,3,regular,AP Top 25,Mississippi State,25,2.0
2011,3,regular,AP Top 25,Nebraska,11,2.0
2011,3,regular,AP Top 25,Ohio State,17,2.0
2011,3,regular,AP Top 25,Oklahoma,1,2.0
2011,3,regular,AP Top 25,Oklahoma State,8,2.0
2011,3,regular,AP Top 25,Oregon,12,2.0
2011,3,regular,AP Top 25,South Carolina,10,2.0
2011,3,regular,AP Top 25,South Florida,20,2.0
2011,3,regular,AP Top 25,Stanford,6,2.0
2011,3,regular,AP Top 25,TCU,23,2.0
2011,3,regular,AP Top 25,Texas,23,2.0
2011,3,regular,AP Top 25,Texas A&M,9,2.0
2011,3,regular,AP Top 25,Virginia Tech,13,2.0
2011,3,regular,AP Top 25,West Virginia,18,2.0
2011,3,regular,AP Top 25,Wisconsin,7,2.0
2011,4,regular,AP Top 25,Alabama,3,2.0
2011,4,regular,AP Top 25,Arkansas,14,2.0
2011,4,regular,AP Top 25,Baylor,17,2.0
2011,4,regular,AP Top 25,Boise State,4,2.0
2011,4,regular,AP Top 25,Clemson,21,2.0
2011,4,regular,AP Top 25,Florida,15,2.0
2011,4,regular,AP Top 25,Florida State,11,2.0
2011,4,regular,AP Top 25,Georgia Tech,25,2.0
2011,4,regular,AP Top 25,Illinois,24,2.0
2011,4,regular,AP Top 25,LSU,2,2.0
2011,4,regular,AP Top 25,Michigan,22,2.0
2011,4,regular,AP Top 25,Nebraska,9,2.0
2011,4,regular,AP Top 25,Oklahoma,1,2.0
2011,4,regular,AP Top 25,Oklahoma State,7,2.0
2011,4,regular,AP Top 25,Oregon,10,2.0
2011,4,regular,AP Top 25,South Carolina,12,2.0
2011,4,regular,AP Top 25,South Florida,18,2.0
2011,4,regular,AP Top 25,Stanford,5,2.0
2011,4,regular,AP Top 25,TCU,20,2.0
2011,4,regular,AP Top 25,Texas,19,2.0
2011,4,regular,AP Top 25,Texas A&M,8,2.0
2011,4,regular,AP Top 25,USC,23,2.0
2011,4,regular,AP Top 25,Virginia Tech,13,2.0
2011,4,regular,AP Top 25,West Virginia,16,2.0
2011,4,regular,AP Top 25,Wisconsin,6,2.0
